"('pid',)","('mid',)"
nm0000001,tt0031983
nm0000001,tt0053137
nm0000001,tt0050419
nm0000001,tt0072308
nm0000002,tt0117057
nm0000002,tt0038355
nm0000002,tt0037382
nm0000002,tt0071877
nm0000003,tt0057345
nm0000003,tt0049189
nm0000003,tt0054452
nm0000004,tt0080455
nm0000004,tt0077975
nm0000004,tt0078723
nm0000005,tt0083922
nm0000005,tt0060827
nm0000005,tt0069467
nm0000005,tt0050986
nm0000006,tt0038109
nm0000006,tt0036855
nm0000006,tt0077711
nm0000006,tt0034583
nm0000007,tt0043265
nm0000007,tt0037382
nm0000007,tt0034583
nm0000007,tt0042593
nm0000008,tt0068646
nm0000008,tt0047296
nm0000008,tt0078788
nm0000008,tt0070849
nm0000009,tt0061184
nm0000009,tt0087803
nm0000009,tt0059749
nm0000009,tt0057877
nm0000010,tt0035575
nm0000010,tt0031867
nm0000010,tt0029870
nm0000010,tt0042041
nm0000011,tt0027996
nm0000011,tt0035896
nm0000011,tt0034167
nm0000011,tt0044706
nm0000012,tt0035140
nm0000012,tt0042192
nm0000012,tt0031210
nm0000012,tt0056687
nm0000013,tt0045591
nm0000013,tt0053172
nm0000013,tt0049470
nm0000013,tt0048317
nm0000014,tt0029843
nm0000014,tt0041452
nm0000014,tt0040806
nm0000014,tt0031381
nm0000015,tt0048545
nm0000015,tt0049261
nm0000015,tt0048028
nm0000016,tt0096320
nm0000016,tt0091763
nm0000016,tt0069946
nm0000016,tt0057345
nm0000017,tt0051201
nm0000017,tt0055031
nm0000017,tt0052311
nm0000017,tt0021156
nm0000018,tt0054331
nm0000018,tt0049456
nm0000018,tt0043465
nm0000018,tt0043338
nm0000019,tt0050783
nm0000019,tt0071129
nm0000019,tt0056801
nm0000019,tt0047528
nm0000020,tt0051207
nm0000020,tt0082846
nm0000020,tt0050083
nm0000020,tt0032551
nm0000021,tt0032976
nm0000021,tt0035751
nm0000021,tt0040536
nm0000021,tt0034248
nm0000022,tt0023382
nm0000022,tt0025316
nm0000022,tt0026752
nm0000022,tt0031381
nm0000023,tt0032138
nm0000023,tt0037059
nm0000023,tt0047522
nm0000023,tt0055031
nm0000024,tt0071877
nm0000024,tt0117631
nm0000024,tt0045943
nm0000024,tt0082031
nm0000025,tt0119488
nm0000025,tt0120762
nm0000025,tt0077269
nm0000025,tt0117731
nm0000026,tt0048728
nm0000026,tt0034248
nm0000026,tt0056923
nm0000026,tt0053125
nm0000027,tt0051739
nm0000027,tt0041546
nm0000027,tt0076759
nm0000027,tt0050212
nm0000028,tt0040525
nm0000028,tt0038559
nm0000028,tt0046076
nm0000028,tt0036723
nm0000029,tt0077800
nm0000029,tt0074802
nm0000030,tt0054698
nm0000030,tt0056923
nm0000030,tt0058385
nm0000030,tt0046250
nm0000031,tt0032904
nm0000031,tt0043265
nm0000031,tt0082846
nm0000031,tt0063227
nm0000032,tt0070723
nm0000032,tt0052618
nm0000032,tt0063442
nm0000032,tt0049833
nm0000033,tt0052357
nm0000033,tt0056869
nm0000033,tt0054215
nm0000033,tt0053125
nm0000034,tt0043014
nm0000034,tt0047437
nm0000034,tt0046359
nm0000034,tt0074958
nm0000035,tt0120746
nm0000035,tt0090633
nm0000035,tt0499549
nm0000035,tt0120338
nm0000036,tt0019421
nm0000036,tt0015324
nm0000036,tt0017925
nm0000036,tt0016332
nm0000037,tt0045152
nm0000037,tt0043278
nm0000037,tt0041716
nm0000037,tt0053946
nm0000038,tt0046874
nm0000038,tt0047396
nm0000038,tt0048728
nm0000038,tt0046912
nm0000039,tt0045793
nm0000039,tt0049408
nm0000039,tt0039192
nm0000039,tt0050105
nm0000040,tt0062622
nm0000040,tt0066921
nm0000040,tt0072684
nm0000040,tt0093058
